CustomerKey,CustomerID,CustomerName,Email,Location,SignupDate
50,CUST149,Ruben Gay,nscott@yahoo.com,Lake Natashahaven,2024-01-30
51,CUST150,Cheyenne Bell,joejames@thompson.com,East Kimberlyburgh,2023-03-20
52,CUST151,Kimberly Figueroa,michael85@cox-sims.biz,Donaldfurt,2022-09-30
53,CUST152,Lisa Taylor,carrillodenise@singleton.info,North Ricky,2022-06-16
54,CUST153,Susan Martinez,ferrellsamuel@gmail.com,Whitneychester,2025-02-26
55,CUST154,Christopher Taylor,christopher55@hernandez.com,Phyllisfort,2023-04-01
56,CUST155,David Brown,nwright@huerta-snyder.info,Aaronberg,2023-05-08
57,CUST156,Misty Santos,uedwards@russell.net,Mcfarlandburgh,2023-06-06
58,CUST157,Tammy Smith,elizabethallen@yahoo.com,Davidtown,2025-05-10
59,CUST158,Elizabeth White,kevin56@yahoo.com,Kennethshire,2025-04-19
60,CUST159,Kim Gibson,jasonrodgers@schaefer-kelley.com,Haleybury,2022-07-09
61,CUST160,Bryan Cohen,fraziersamuel@hotmail.com,East Amberstad,2023-03-26
62,CUST161,Theresa Collier,angela61@yahoo.com,Nicolestad,2023-07-11
63,CUST162,Rebecca Edwards,grossjulie@yahoo.com,West Alexisland,2022-08-02
64,CUST163,Kelsey Solomon,tanyadavis@williams.com,Corteztown,2023-03-10
65,CUST164,Brittany Daniels,basskeith@smith.com,Adamfort,2024-12-09
66,CUST165,Franklin Crawford,kristen96@gmail.com,Davidfurt,2024-03-24
67,CUST166,Lisa Sanchez,robinbaker@thomas.org,North Stephen,2023-05-07
68,CUST167,Latoya White,amy39@fry-nguyen.org,South Russell,2023-07-24
69,CUST168,Linda Massey,simssandra@gmail.com,Samanthaville,2024-10-19
70,CUST169,Cynthia Lawson,michellegarcia@hotmail.com,South Kathleen,2024-03-12
71,CUST170,Robin Duran,wbond@olson.net,Smithburgh,2023-01-07
72,CUST171,Zachary Banks,qquinn@holt.info,Rebeccaburgh,2023-02-18
73,CUST172,Latoya Hill,lindseykim@collins.com,New Ebonystad,2022-07-31
74,CUST173,Reginald Vasquez,harrisbrandon@yahoo.com,East Lindafurt,2024-01-20
75,CUST174,Pamela Hill,melissalong@fuller-rubio.com,Matabury,2025-05-04
76,CUST175,Lisa Wright,mooredawn@ortiz.com,East Andreaview,2022-07-30
77,CUST176,Anthony Johnson,michaelcross@gamble.com,West Brettport,2022-10-04
78,CUST177,Jessica Pope,adamreed@graham.com,Deckerfurt,2023-06-26
79,CUST178,Amy Mason,kelly39@hotmail.com,Garciaberg,2024-03-15
80,CUST179,Jeremy Hernandez,jasmine07@gallegos.com,Huffmanmouth,2025-01-28
81,CUST180,Victoria Daugherty,annamartinez@yahoo.com,Carterfort,2023-09-21
82,CUST181,Stephanie Simpson,forbesrachel@gmail.com,North Joe,2024-01-23
83,CUST182,Tyler Barrett,jacksonzachary@sanchez.com,Gregoryfurt,2024-07-04
84,CUST183,Cindy Hensley,morganbarry@moore.com,North Jessica,2024-01-24
85,CUST184,Cheryl Arellano,crawfordkatrina@clark-wheeler.com,New Brandonhaven,2022-06-12
86,CUST185,Donna Mcintosh,tyler11@hotmail.com,New Kimberly,2024-07-15
87,CUST186,Thomas Gray,ethan99@yahoo.com,New April,2025-02-12
88,CUST187,Steven Brown,maddenevelyn@gmail.com,South Frank,2025-01-03
89,CUST188,Elizabeth Alvarez,smithbenjamin@yahoo.com,Timothyton,2023-07-01
90,CUST189,Robert Strickland,cordovajames@pugh.org,Boonehaven,2024-06-29
91,CUST190,Suzanne Barnett,guerraphillip@harris.com,Priceview,2024-03-23
92,CUST191,Marissa Barnett,monique24@jacobs-li.com,Prestonshire,2023-06-19
93,CUST192,Jennifer Garcia,josephcannon@yahoo.com,North Sarahaven,2024-03-23
94,CUST193,Matthew Davis,kelly86@payne.biz,Port Cindy,2022-11-16
95,CUST194,Brian King,jacquelinewilliams@anderson.com,Rachelton,2025-03-28
96,CUST195,Scott Lopez,uglover@hotmail.com,Edwardsbury,2024-08-28
97,CUST196,Kelly Freeman,karentorres@gmail.com,New Loriberg,2023-05-21
98,CUST197,Dustin Gill,mgilmore@frost-johnson.com,Hornchester,2022-09-24
99,CUST198,Yvonne Davis,williamsgeorge@cole-aguirre.com,North Taylorbury,2024-11-03
100,CUST199,Anita Ruiz,lawrencekim@parker.com,Tylermouth,2023-09-22
